
G = Sp(6, 2),  |G| = 1451520
    O(7,2)

Sp(6, 2)-conjugacy classes:  1369
Total subgroups:               11094174

Isomorphism classes  (Sp(6, 2)-conjugacy):

  Isomorphism type                Order   Conj.classes  #Subgroups  Name
  --------------------------------------------------------------------------
  SmallGroup(64, 71)                  64             2        5670  (C2 x ((C4 x C2) : C2)) : C2
  SmallGroup(64, 73)                  64             3       17010  (C2 x C2 x D8) : C2
  SmallGroup(64, 75)                  64             2       11340  (C2 x (C4 : C4)) : C2
  SmallGroup(64, 77)                  64             1        1890  (C2 x (C4 : C4)) : C2
  SmallGroup(64, 88)                  64             1        5670  (C2 x (C8 : C2)) : C2
  SmallGroup(64, 90)                  64            10       45360  C2 x ((C2 x C2 x C2) : C4)
  SmallGroup(64, 92)                  64             3       11340  C2 x ((C8 : C2) : C2)
  SmallGroup(64, 98)                  64             2       11340  ((C8 x C2) : C2) : C2
  SmallGroup(64, 101)                 64             4       22680  C2 x ((C4 x C4) : C2)
  SmallGroup(64, 128)                 64             1       11340  (C2 x C2 x D8) : C2
  SmallGroup(64, 129)                 64             1       11340  (C2 x QD16) : C2
  SmallGroup(64, 130)                 64             2       22680  (C2 x QD16) : C2
  SmallGroup(64, 134)                 64            10       90720  ((C4 x C4) : C2) : C2
  SmallGroup(64, 138)                 64            21       90720  ((C2 x C2 x C2) : (C2 x C2)) : C2
  SmallGroup(64, 193)                 64             2        8505  C2 x C2 x ((C4 x C2) : C2)
  SmallGroup(64, 196)                 64             1        5670  C2 x C4 x D8
  SmallGroup(64, 202)                 64            15       77490  C2 x ((C2 x C2 x C2 x C2) : C2)
  SmallGroup(64, 203)                 64             3       14175  C2 x ((C4 x C2 x C2) : C2)
  SmallGroup(64, 211)                 64             2        3780  C2 x ((C4 x C4) : C2)
  SmallGroup(64, 226)                 64             6       45360  D8 x D8
  SmallGroup(64, 254)                 64             2       11340  C2 x (C8 : (C2 x C2))
  SmallGroup(64, 261)                 64             3        9450  C2 x C2 x C2 x D8
  SmallGroup(64, 263)                 64             1        1890  C2 x C2 x ((C4 x C2) : C2)
  SmallGroup(64, 264)                 64             4       15120  C2 x ((C2 x C2 x C2) : (C2 x C2))
  SmallGroup(64, 267)                 64             1         135  C2 x C2 x C2 x C2 x C2 x C2
  SmallGroup(72, 25)                  72             1       10080  C3 x SL(2,3)
  SmallGroup(72, 40)                  72             4       33600  (S3 x S3) : C2
  SmallGroup(72, 42)                  72             4       20160  C3 x S4
  SmallGroup(72, 43)                  72             4       20160  (C3 x A4) : C2
  SmallGroup(72, 44)                  72             4       20160  A4 x S3
  SmallGroup(72, 45)                  72             1       10080  C2 x ((C3 x C3) : C4)
  SmallGroup(72, 46)                  72             3       40320  C2 x S3 x S3
  SmallGroup(72, 47)                  72             2       10080  C6 x A4
  SmallGroup(80, 49)                  80             1        2268  (C2 x C2 x C2 x C2) : C5
  SmallGroup(81, 7)                   81             1        4480  (C3 x C3 x C3) : C3
  SmallGroup(96, 3)                   96             1        7560  ((C4 x C2) : C4) : C3
  SmallGroup(96, 64)                  96             4       15120  ((C4 x C4) : C3) : C2
  SmallGroup(96, 65)                  96             1        7560  A4 : C8
  SmallGroup(96, 66)                  96             1        7560  SL(2,3) : C4
  SmallGroup(96, 67)                  96             2       15120  SL(2,3) : C4
  SmallGroup(96, 68)                  96             1        3780  C2 x ((C4 x C4) : C3)
  SmallGroup(96, 70)                  96             2        7560  ((C2 x C2 x C2 x C2) : C2) : C3
  SmallGroup(96, 72)                  96             2        7560  ((C4 x C4) : C2) : C3
  SmallGroup(96, 186)                 96             4       15120  C4 x S4
  SmallGroup(96, 187)                 96             5       22680  (C4 x A4) : C2
  SmallGroup(96, 189)                 96             1        7560  C2 x GL(2,3)
  SmallGroup(96, 193)                 96             2       15120  (((C4 x C2) : C2) : C3) : C2
  SmallGroup(96, 194)                 96             1        3780  C2 x (A4 : C4)
  SmallGroup(96, 195)                 96             8       30240  (C2 x C2 x A4) : C2
  SmallGroup(96, 196)                 96             1        3780  C2 x C4 x A4
  SmallGroup(96, 197)                 96             4       15120  D8 x A4
  SmallGroup(96, 198)                 96             1        2520  C2 x C2 x SL(2,3)
  SmallGroup(96, 199)                 96             1        2520  A4 x Q8
  SmallGroup(96, 201)                 96             2       10080  ((C2 x C2 x C2) : (C2 x C2)) : C3
  SmallGroup(96, 203)                 96             2        3150  (C2 x C2 x Q8) : C3
  SmallGroup(96, 204)                 96             5       20475  ((C2 x C2 x C2) : (C2 x C2)) : C3
  SmallGroup(96, 209)                 96             1       15120  C2 x S3 x D8
  SmallGroup(96, 226)                 96            18      112140  C2 x C2 x S4
  SmallGroup(96, 227)                 96             8       25200  ((C2 x C2 x C2 x C2) : C3) : C2
  SmallGroup(96, 228)                 96             2        5040  C2 x C2 x C2 x A4
  SmallGroup(96, 229)                 96             4       12600  C2 x ((C2 x C2 x C2 x C2) : C3)
  SmallGroup(108, 15)                108             1        3360  ((C3 x C3) : C3) : C4
  SmallGroup(108, 17)                108             1        6720  ((C3 x C3) : C3) : (C2 x C2)
  SmallGroup(108, 36)                108             1        3360  C3 x ((C3 x C3) : C4)
  SmallGroup(108, 37)                108             1        3360  (C3 x C3 x C3) : C4
  SmallGroup(108, 38)                108             3       13440  C3 x S3 x S3
  SmallGroup(108, 39)                108             2       10080  ((C3 x C3) : C2) x S3
  SmallGroup(108, 40)                108             2        4480  (C3 x C3 x C3) : (C2 x C2)
  SmallGroup(120, 34)                120             6       28224  S5
  SmallGroup(120, 35)                120             4       30240  C2 x A5
  SmallGroup(120, 36)                120             1       12096  S3 x (C5 : C4)
  SmallGroup(128, 122)               128             2        5670  (C4 x C2 x C2 x C2) : C4
  SmallGroup(128, 125)               128             2        5670  (C2 x (C4 : C4)) : C4
  SmallGroup(128, 513)               128             1        2835  ((C2 x ((C4 x C2) : C2)) : C2) : C2
  SmallGroup(128, 515)               128             1        2835  (C2 x ((C8 : C2) : C2)) : C2
  SmallGroup(128, 521)               128             1        5670  (((C8 x C2) : C2) : C2) : C2
  SmallGroup(128, 522)               128             2        3780  (C2 x ((C2 x C2 x C2) : C4)) : C2
  SmallGroup(128, 524)               128             3       11340  (((C8 x C2) : C2) : C2) : C2
  SmallGroup(128, 850)               128             6       17010  C2 x (((C8 : C2) : C2) : C2)
  SmallGroup(128, 856)               128             2        5670  C2 x (((C2 x C2 x C2) : C4) : C2)
  SmallGroup(128, 928)               128             8       45360  (((C2 x C2 x C2 x C2) : C2) : C2) : C2
  SmallGroup(128, 1090)              128             1        2835  (((C4 x C2) : C4) : C2) : C2
  SmallGroup(128, 1135)              128             1        2835  (C2 x ((C2 x C2 x C2 x C2) : C2)) : C2
  SmallGroup(128, 1142)              128             1        5670  ((C2 x C2 x D8) : C2) : C2
  SmallGroup(128, 1156)              128             1        5670  ((C2 x C2 x D8) : C2) : C2
  SmallGroup(128, 1165)              128             1        2835  (C2 x ((C2 x C2 x C2 x C2) : C2)) : C2
  SmallGroup(128, 1401)              128             1        2835  (C2 x ((C4 x C2 x C2) : C2)) : C2
  SmallGroup(128, 1411)              128             1         945  (C2 x ((C2 x C2 x C2 x C2) : C2)) : C2
  SmallGroup(128, 1613)              128             1        2835  C2 x C2 x ((C2 x C2 x C2) : C4)
  SmallGroup(128, 1738)              128             1        5670  (C2 x C2 x ((C4 x C2) : C2)) : C2
  SmallGroup(128, 1746)              128             3       11340  C2 x (((C4 x C4) : C2) : C2)
  SmallGroup(128, 1755)              128             8       26460  C2 x (((C2 x C2 x C2 x C2) : C2) : C2)
  SmallGroup(128, 2163)              128             1        2835  C2 x C2 x ((C2 x C2 x C2 x C2) : C2)
